workload1,workload2,freq1,freq2,iterations,w1_proposal_percentage,w2_proposal_percentage,w1_fair_percentage,w2_fair_percentage,w1_optimal_percentage,w2_optimal_percentage,total_throughput_at_selected,w1_throughput_at_selected,w2_throughput_at_selected,w1_arrival,w2_arrival,w1_change_factor,w2_change_factor,w1_residual_selected,w2_residual_selected
mobilenet_v2_1.0_224_batch2-inf,wav2vec2-base-960h_batch2-inf,300.0,300.0,2,38.047868541434596,80.0,32.23088143101869,67.76911856898131,30.0,70.0,71.42200000000001,64.284,7.138,81.52897271058606,9.683122051755843,0.26826228471448654,0.3565595477382801,-17.244972710586055,-2.5451220517558433
mobilenet_v2_1.0_224_batch2-inf,whisper-large-v2_batch2-inf,300.0,300.0,2,40.0,60.0,40.0,60.0,40.0,60.0,69.20599999999999,68.823,0.383,81.52897271058606,0.638458413140635,0.1846181176436085,0.6669932457980026,-12.705972710586067,-0.255458413140635
reductionMultiBlockCG_batch2-cuda_samples,resnet-50_batch2-inf,300.0,300.0,2,40.0,40.0,40.0,40.0,40.0,60.0,118.84599999999999,76.564,42.282,177.77344,52.67105010726058,1.3218933180084635,0.24570857829006623,-101.20944,-10.38905010726058
reductionMultiBlockCG_batch2-cuda_samples,resnet-50_batch2-train,300.0,300.0,2,40.0,40.0,40.0,40.0,40.0,60.0,98.679,73.911,24.768,177.77344,30.013618896435663,1.4052365683051236,0.21179016862224087,-103.86243999999999,-5.245618896435662
reductionMultiBlockCG_batch2-cuda_samples,vit-base-patch16-224_batch2-inf,300.0,300.0,2,40.0,50.0,40.0,50.0,40.0,60.0,96.292,75.887,20.405,177.77344,28.79960639952206,1.3426072976926218,0.4113994804960577,-101.88644,-8.394606399522058
reductionMultiBlockCG_batch2-cuda_samples,vit_h_14_batch2-train,300.0,300.0,2,40.0,80.0,33.333333333333336,66.66666666666667,30.0,70.0,54.942,53.966,0.976,177.77344,1.3865983171738605,2.2941748508320052,0.4206949971043653,-123.80743999999999,-0.4105983171738605
reductionMultiBlockCG_batch2-cuda_samples,wav2vec2-base-960h_batch2-inf,300.0,300.0,2,40.0,80.0,33.333333333333336,66.66666666666667,30.0,70.0,64.536,57.458,7.078,177.77344,9.683122051755843,2.0939719447248426,0.3680590635427865,-120.31544,-2.605122051755843
reductionMultiBlockCG_batch2-cuda_samples,whisper-large-v2_batch2-inf,300.0,300.0,2,40.0,60.0,40.0,60.0,40.0,60.0,73.36,72.98,0.38,177.77344,0.638458413140635,1.435919978076185,0.6801537187911447,-104.79343999999999,-0.258458413140635
resnet-50_batch2-inf,resnet-50_batch2-inf,300.0,300.0,2,40.0,40.0,40.0,40.0,40.0,60.0,81.087,38.978,42.109,52.67105010726058,52.67105010726058,0.35130201927396415,0.250826429201847,-13.693050107260575,-10.562050107260575
resnet-50_batch2-inf,resnet-50_batch2-train,300.0,300.0,2,40.0,40.0,40.0,40.0,40.0,60.0,63.514,38.542,24.972,52.67105010726058,30.013618896435663,0.3665883998562756,0.20189087363589867,-14.129050107260575,-5.041618896435661
